WCAG番号,適合レベル,原則,達成基準,チェックする時,担当,チェック内容,確認手段,要件の概要,テスト手順詳細,結果,メモ
3.2.4,AA,理解可能,一貫した識別性,デザイン時,デザイナー,テキストはライティングガイドラインを遵守し揺れがない。困難な場合は対応方針を決めることでも可,目視確認,同じ機能を持つコンポーネントは一貫して識別できる,,,
3.2.4,AA,理解可能,一貫した識別性,QAテスト時,QA,同じ機能を持つコンポーネントが一貫したラベル・名前で識別できる,目視 / VoiceOver,同じ機能を持つコンポーネントは一貫して識別できる,サイト内で同じ役割のボタン・リンク・アイコンが異なるラベルやアイコンで示されていないか確認する,,
3.2.6,A,理解可能,一貫したヘルプ,デザイン時,デザイナー,固定されたヘルプ導線は常に同じ場所に表示する,目視確認,ヘルプ等のメカニズムが複数ページで同じ順序・場所に出現する,,,
3.2.6,A,理解可能,一貫したヘルプ,QAテスト時,QA,ヘルプ・サポートへの導線が複数ページで同じ場所・順序に出現する,複数ページの目視確認,ヘルプ等のメカニズムが複数ページで同じ順序・場所に出現する,サイト内の複数ページを開いてヘルプ・サポートへの手段が常に同じ場所・方法で提供されているか確認する,,
3.3.1,A,理解可能,エラーの特定,デザイン時,デザイナー,入力エラーが発生した際、エラー箇所がテキストで明確に提示されどこを直せばよいか理解できるようにする,目視確認,入力エラー時にエラー箇所がテキストで特定・説明される,,,
3.3.1,A,理解可能,エラーの特定,QAテスト時,QA,入力エラーがテキストで特定・説明される,手動入力テスト,入力エラー時にエラー箇所がテキストで特定・説明される,"1. フォームに不正な値を入力する（必須欄を空・メールに文字列のみ等）
2. エラーとなっている箇所が明確に示されているか確認する
3. エラーメッセージがテキストで提示されているか確認する（色だけはNG）",,
3.3.2,A,理解可能,ラベル又は説明,デザインシステム構築時（初回のみ）,デザイナー,入力欄がある場合、入力内容・形式・必須などが明確に表示され入力中も消えないデザインにする,手動作業,入力欄に入力内容・形式・必須などが明確に表示され入力中も消えない,,,
3.3.2,A,理解可能,ラベル又は説明,デザイン時,デザイナー,入力欄のラベル・説明が明確で入力中も消えないようにデザインする,目視確認,入力欄に入力内容・形式・必須などが明確に表示され入力中も消えない,,,
3.3.2,A,理解可能,ラベル又は説明,開発時,エンジニア,入力欄が適切に読み上げられるよう実装（プレースホルダーのみに依存しない）,,入力欄に入力内容・形式・必須などが明確に表示され入力中も消えない,,,
3.3.2,A,理解可能,ラベル又は説明,デザイン・PdMレビュー / QAテスト時,デザイナー・PdM / QA,入力欄に明確なラベル・説明があり入力中も消えない。スクリーンリーダーでも適切に読み上げられる / 入力欄に目的を示すラベル・説明が提供されている,スクリーンリーダーで確認 / 目視 / 目視 / VoiceOver,入力欄に入力内容・形式・必須などが明確に表示され入力中も消えない,"1. フォーム入力欄のラベルが表示されているかチェックする
2. 入力条件がある場合（8文字以上等）、事前に説明されているか確認する
3. プレースホルダーだけに依存していないか確認する",,
3.3.3,AA,理解可能,エラー修正の提案,デザイン時,デザイナー,入力エラーが発生した際、どのように修正すれば良いか具体的な提案が表示される,目視確認,入力エラー時に具体的な修正方法が提案される,,,
3.3.3,AA,理解可能,エラー修正の提案,QAテスト時,QA,入力エラー時に修正方法の提案が提示される,手動入力テスト,入力エラー時に具体的な修正方法が提案される,フォームでわざとエラーを発生させ、何が間違っていてどう直せばよいかを伝えているか確認する,,
3.3.4,AA,理解可能,エラー回避（法的、金融及びデータ）,デザイン時,デザイナー,重要な操作がある場合、【取消】【誤入力の検出と修正】【送信前の確認】のいずれかができるようにする,目視確認,重要な操作は取消・修正・送信前確認のいずれかができる,,,
3.3.4,AA,理解可能,エラー回避（法的、金融及びデータ）,QAテスト時,QA,法的・金融・データに関わる重要な操作で取消・修正・確認のいずれかが可能,手動操作テスト,重要な操作は取消・修正・送信前確認のいずれかができる,重要な操作（契約・購入・個人情報削除等）で確認画面・修正機能・取り消し手段のいずれかが提供されているか確認する,,
3.3.7,A,理解可能,冗長な入力項目,デザイン時,デザイナー,一つのプロセスの中で以前入力した情報を再度入力する場合、省略できるようにする（セキュリティ上必要な場合は除く）,目視確認,同一プロセスで以前入力した情報は自動入力または選択で省略できる,,,
3.3.7,A,理解可能,冗長な入力項目,開発時,エンジニア,一つのプロセスで以前入力した情報の再入力を省略できるよう実装,,同一プロセスで以前入力した情報は自動入力または選択で省略できる,,,
3.3.7,A,理解可能,冗長な入力項目,デザイン・PdMレビュー / QAテスト時,デザイナー・PdM / QA,一つのプロセスで以前入力した情報の再入力を省略できる / 同一プロセス内で同じ情報を繰り返し入力させていない,目視確認 / 手動操作テスト,同一プロセスで以前入力した情報は自動入力または選択で省略できる,入力フォームで同じ情報を何度も入力させていないか確認する（前ステップの内容が引き継がれるか等）,,
3.3.8,AA,理解可能,アクセシブル認証（最低限）（WCAG2.2）,デザイン・PdMレビュー / QAテスト時,デザイナー・PdM / QA,認証がある場合、パスワードマネージャーやコピー&ペーストが利用できる / 認証でパスワードマネージャー・コピー&ペーストが使える,必要有無確認・手動確認 / 手動操作テスト,認証が必要な時パスワードマネージャーやコピー&ペーストが利用できる,ログイン等の認証画面でパスワードマネージャー・コピー&ペーストが利用できるか確認する,,
4.1.1,A,堅牢性,構文解析,開発時,エンジニア,HTMLの構文が仕様に準拠（開始/終了タグの対応・要素の入れ子・重複属性なし・id一意）,,マークアップが仕様に準拠しており機械が正しく解釈できる,,,
4.1.1,A,堅牢性,構文解析,QAテスト時,QA,HTMLの構文エラーがない,HTML Validator（validator.w3.org）/ axe DevTools,マークアップが仕様に準拠しており機械が正しく解釈できる,"1. HTML Validatorでページの構文をチェックする
2. 開始/終了タグの不一致・重複属性・不正な入れ子がないか確認する
3. axe DevToolsでARIA関連の構文エラーも確認する",,
4.1.2,A,堅牢性,名前（name）、役割（role）及び値（value）,開発時,エンジニア,標準的なUI（ボタン・リンク・チェックボックス等）はHTMLネイティブを使用。カルーセル等は適切にname/role/valueを付与,,UIコンポーネントにname・role・valueが正しく設定されスクリーンリーダーで適切に読み上げられる,,,
4.1.2,A,堅牢性,名前（name）、役割（role）及び値（value）,デザイン・PdMレビュー / QAテスト時,デザイナー・PdM / QA,スクリーンリーダーでUIコンポーネントのname・role・valueが適切に読み上げられる / UIコンポーネントにname・role・valueが正しく設定されている,スクリーンリーダーで一通り確認 / axe DevTools / VoiceOver,UIコンポーネントにname・role・valueが正しく設定されスクリーンリーダーで適切に読み上げられる,"1. ページのUIコンポーネントを順に操作する
2. VoiceOverでname・role・valueが正しく読み上げられるか確認する
3. 状態が変わるUI（チェックボックス等）で読み上げ内容が正しく変わるか確認する",,
4.1.3,AA,堅牢性,ステータスメッセージ,開発時,エンジニア,「保存しました」等のフィードバックメッセージがフォーカスを移動しなくてもスクリーンリーダーで自動読み上げされるよう実装（role=status等）,,ステータスメッセージがフォーカスなしにスクリーンリーダーで自動読み上げされる,,,
4.1.3,AA,堅牢性,ステータスメッセージ,デザイン・PdMレビュー / QAテスト時,デザイナー・PdM / QA,ステータスメッセージがある場合、フォーカスを移動しなくてもスクリーンリーダーで自動読み上げされる / エラー・完了等のメッセージがフォーカスなしに支援技術で読み上げられる,スクリーンリーダーで一通り確認 / VoiceOver,ステータスメッセージがフォーカスなしにスクリーンリーダーで自動読み上げされる,"1. フォーム送信・検索等でメッセージが表示される操作を行う
2. フォーカスを移動しなくてもスクリーンリーダーが自動で読み上げるか確認する
3. role=statusやaria-liveが設定されているか開発者ツールで確認する",,
